,reviews,rating,reivew_time
194,"Stayed at the Novotel hotel in Canary Wharf ,went upstairs for a late drink and food ,great view's and a great night",4,10 months ago
195,"Great location and views but I left the place disappointed! First, I got to reception and was told that they could not find my booking. This seems to be a recurring theme with this place as this was not the first booking they stuffed up. I showed them my confirmation email so they gave me and my friends a table -shout out to the hostess who was very helpful. She was told by the manager that my booking was lost because I did not reply to the confirmation email (although nowhere in the email tells me to do this). Second, as there was no table service where we sat we had to go to the bar to buy drinks. I have no issue with this except for the fact that I got automatically charged a 12.5% service charge even though I went to the bar to get drinks. When asked, the bar man said that the charge was for him ""serving"" me drinks! I had to ask him to get rid of the service charge every time I get drinks from the bar. I hope this gets sorted.",2,a year ago
196,Nice restaurant with wonderful views,5,6 months ago
197,"Poor customer service / proposition - booked for a brunch, which turned out to be Mother's Day, all fine, until I receive an email saying, oh actually it's a set menu and it's £75 a head, for brunch! Haha - no thanks I prefer to spend my money on less greedy restaurateurs or at least ones that can justify that price.",1,a year ago
198,"Had the most wonderful evening here! The view is amazing! But the food and service absolute mates the beautiful view! We were served by Nora who was just absolutely lovely, and the food was amazing! - we are absolutely coming back!",5,a year ago
199,"Too much Time to wait, not enough staff",1,2 months ago
200,"Excellent view, great kitchen. The staff may be a bit impatient taking drink orders however is this strange if there is just one drink menu for eight people on the table...the food really compensates this all. On Friday and Saturday nights, enjoy the live music in the bay and remember to enjoy the great views!",5,a year ago
201,Beautiful cocktail bar.,5,3 months ago
202,Nice place to take a cocktail,5,2 months ago
203,Great rooftop bar with beautiful views of London. Nice cocktails and good wine options as well. Highly recommend!,5,a year ago
204,"Amazing view from the top, be sure to be up there by sunset and look towards the city! Even by night it's amazing.",5,11 months ago
205,A very good rooftop bar with very decent prices.,5,7 months ago
206,Good fun place. Drinks a bit expensive though...,4,6 months ago
207,"One of your bouncers/security men was so rude to my partner and I. We showed up, instructed the lady at the door about our reservation, she went to check if the table was ready, and he approached us and verbatim ‘What do you want? Why are you standing here?�? It was so confrontational and rude.",1,9 months ago
208,"Great - but distant - view over central London, worth the long walk from the station. Prices are reasonable given the view. Live jazz is good. Fairly spacious outdoor terrace at the top. Service is slow and somewhat indifferent. Food and drink options are ok but the view is the main attraction.",4,a year ago
209,"The staff are good. The food was very basic and over priced my chicken was raw 🙂🤮and they brought it back over cooked. The cocktails were average, bitter tasting at first needed a re shack and voilà they tasted alright. View are views not bad, better than duck and waffle 👀",2,10 months ago
210,"Nice place. Food is good, just don't mach the price.",4,11 months ago
211,"A perfect restaurant, cocktail & Bar to have a fantastic drink or dinner in London sky (37-39 floors) looking to Central City. Totally recommended and balanced price&quality. Canary Wharf views as well, very well communicated and nice facilities.",5,a year ago
212,"Great food and drink selection, views and ambience are really good too. We had a £65pp tasting menu, which was a great selection of dishes. The cocktails available (6) are quite inventive, but you can still order an old fashioned etc even though it's not on the menu.",5,a year ago
213,A stunning bar with a really great view across london. would recommend for a classy night out. Prices are what you would expect for a high end London bar. The drinks are great and the staff are very friendly. it has a nice aesthetic. Lots of low lighting and wooden tables. There is an outdoor section on the top floor with great views.,5,a year ago
214,Not great gin and tonic at all! But great views and good music,4,11 months ago
215,The bartender ‘Nick�?is extremely rude and unwelcoming. Because of him I won’t be going back,2,6 months ago
216,"Nice bar. Great views, always busy best to book table ahead",5,11 months ago
217,"Make sure you plan in advance as space will a limited, great settitng.",5,10 months ago
218,"Amazing views, nice music, good drinks, loved it",5,7 months ago
219,gorgeous atmosphere,5,a week ago
220,Amazing view of London and great atmosphere,5,7 months ago
221,Great panoramic views of London. Indoor and outdoor seating. The outside area has heaters to keep warm in the winter. Drinks are a little expensive but worth it for the view.,5,a year ago
222,"Amazing view, nice place ,good staff",5,7 months ago
223,My partner and I had such a great time on Sunday even though it rained. All three levels were great.,4,9 months ago
224,It's not cheap but the food is good and the staff knowledgeable. Excellent views too.,4,10 months ago
225,"We haven't been to the Bokan restaurant, but the bar is really impressive with amazing skyline views of London. It offers these breathtaking views, accompanied with good drinks, without being as crowded and pricy as Sky Gardens or the Shard. Highly recommended.",5,a year ago
226,So nice!,5,a month ago
227,"I booked a table for 13 for a Birthday Brunch over Easter. I can’t praise this restaurant enough with your staff being so accommodating to the multiple changes to the booking and their professionalism throughout our meal. We all work within the hospitality and customer service industry and were extremely pleased with the food and service. For a place that still offers ‘bottomless�?drinks, I was impressed that we were hardly sat with empty glasses. The 3 courses were amazing and plated beautifully. Thank you for a very memorable birthday and will be recommending this place for future brunches/dinners/drinks!",5,a year ago
228,Amazing views of London City. Cocktails and stuff. We just had drinks so can't comment on the food. I'd imagine the view is good enough to make anything taste nice.,5,a year ago
229,"Lucky to visit this place - best views, best vibe and best cocktails in the city (imo 😉)",5,10 months ago
230,Restaurant located on the top floors of Novotel Canary Wharf. The decoration is modern and the views of London are amazing. The service was very nice and the food excellent.,5,a year ago
231,My favourite stay at Canary wharf,5,4 months ago
232,"Fantastic view, great food. The staff are very attentive and the quality of the food is very high. Delicious and very well presented, it's pricey but good value.",5,a year ago
233,Love and good intentions.,5,4 months ago
234,"One of the best city views in the whole of London, sprawled across two floors and an open air, large rooftop balcony again with the amazing skyline city view and it’s own bar- can easily spend a whole evening here",5,a year ago
235,Stunning place.. came here on Friday eve with 4 friends.. food was lovely.. left feeling full. Afterwards we took in the views without being rushed out of the place. The views were totally amazing.even in the toilets..would deffo go back for a special occasion.. the only criticism is that it was a tad expensive.,4,a year ago
236,Came here for brunch to celebrate my 30th birthday with friends. Tasty food and impeccable service. The bottomless brunch menu is also extremely good value for what you get. Would definitely recommend.,5,a year ago
237,One of my favourite place in London. Stunning view,5,9 months ago
238,Lovely atmosphere and great views,5,4 months ago
239,Really nice place whit an amazing view and friendly staff!Recommended,5,11 months ago
240,Great views,5,3 weeks ago
241,"Certainly the way to eat breakfast, looking out over London. Excellent selection of foods available with very friendly, courteous, efficient staff. Highly recommended, will definitely stay in this Novotel again when in London.",5,a year ago
242,Very bad service...nice view,2,2 months ago
243,"Views were amazing. Bit on the expensive side. Staff in the outside bar really weren’t into it on the day we were there. Once we found a table inside it was a bit better. Took ages for some of our food order to come to the table, we chased it a couple times, but the guy just wandered off to check & never came back.",3,a year ago
244,Amazing atmosphere! Great view!,5,8 months ago
245,LOVED IT! The view was “wow�?,5,6 months ago
246,Cool Place. Great view. Good drinks. And the restaurant is also good.,5,a year ago
247,"Brittiant views, lovely decor, well worth a visit",5,9 months ago
248,"Good cocktails, delicious food and amazing view on London is a combination that ensures satisfaction. The problem is that the staff doesn't really pay attention to the guests and try to order something else is really an ordeal that I am not really willing to undertake for flat service charge of 12.5%.",4,a year ago
249,Spectacular views and decent drinks.,5,5 months ago
250,"Fantastic skyline views (especially at sunset), exquisite cocktail, superb service, in one of the most tasteful setting for a bar with a view. The mix of modern brass features is beautifully balanced with dark wood. Ps: best toilet view in London",5,a year ago
251,"Ate here on the Sunday 10th March for my 36th birthday celebration. We had the brunch set menu. There was 8 of us that dined together. The food and service was actually quite good - the waiter made a massive effort to be very accommodating and food tasted great. However, by Monday night 6/8 of us fell ill with fever, diarrhea and nausea. It could only have been this restaurant as we don't live together and went our separate ways straight afterwards. Even my brother that left a raving review became bed ridden along with his gf on Tuesday. We put it down the the raw fish starter as we all had a piece from that dish with only the couple that don't like raw fish not trying it. Sister contacted the restaurant and it seems like that aren't that bothered and only seem to fob us off which is a great shame as we spent almost £500 and regularly dine out together for birthdays. It would be interesting to see if other diners became ill as it was quite busy when we went on that day.",1,11 months ago
252,What a view. What a fantastic sky bar. Wow.,5,11 months ago
253,"Great night last night, loved the live performance. Very chilled and relaxed vibe. Brilliant views and great service. Will be coming back",5,a year ago
254,"Great bar with an amazing view. Everything is perfect but the card machines which always reject my MasterCard. This is the only place on this planet where my card is not supported, it's a shame...",4,a year ago
255,Great lounge and cocktail bar. It has amazing views on the City which particularly amazing around sunset. The cocktails are pretty good and unique. Haven't tried the restaurant but bar food is very good. Highly recommend it!,5,2 years ago
256,Amazing views of London and fun coctails,5,8 months ago
257,Very nice view from the top roof. Very nice waitress and waiters. A good place to have a drink or snack.,4,a year ago
258,Great place!,5,a month ago
259,Nice rooftop,5,a month ago
260,So delicious!!! Loved it all! Staff are super friendly and attentive too. Great for a date,5,a year ago
261,"About the BAR... This is a nice place. Slightly more expensive than usual, but reasonable. Cocktails around £13. The staff has been very welcoming and professional. I must say, the man who looked like the manager of the bar was serving cocktails as well, dressed in a suit and he has been very kind to us. The view is spectacular, unfortunately the seats by the window where all taken. For being a Saturday night, on my first visit, it was not too crowded and the music was pleasant and not too loud. Don't forget to dress up! Will come back!",5,2 years ago
262,Great view and very approachable staff,5,10 months ago
263,"Nice dinner on a Friday evening. Good service and beautiful food. We walk in, with out reservation and we were lucky to be seated by the window. It as a grey day, but we could see quite a bit of London.",5,a year ago
264,Cool place 👍,5,2 months ago
265,"Large choice of cocktails, beautiful panoramic views!!! High recommend!!!",5,7 months ago
266,Amazing place. Lovely coktails and beautiful view.,5,11 months ago
267,Beautiful view and really tasty food.,5,7 months ago
268,"Lovely view, lovely live music(only for weekend) Price is little bit high, but worth it 🖤 Always love to come here P.s My friend drew it ;)",5,a year ago
269,Outstanding views and outstanding food. Loved it! One of my best meals ever.,5,a year ago
270,"Great food, great view, great team. What more could you ask for? Jerome @ Bokan is especially amazing",5,a year ago
271,Overpriced. But clean and professional,3,6 months ago
272,Nice bar with great views. Seems excessive that they charge a 12.5% service charge every time you make an order at the bar.,3,a year ago
273,Great view. Only had a quick cocktail but the barman was top. Gave us loads of tips about mixing and had a really good deep knowledge of whisky and cocktails.,5,a year ago
274,Great views. Delicious and beautifully presented food with attentive staff on hand. Thoroughly recommend.,5,a year ago
275,Terrible experience. An evening with a business client turned out to be a complete disaster. No less. Will never bring colleagues or business partners to this place again. Very disappointing service.,1,a year ago
276,Drinks were good and so was the view but the food requires significant improvement. Staff was polite.,2,a year ago
277,"Nice setting and great views of the city, but offensively small cocktails served in either champagne flutes or tiny cocktail glasses at £12! Understaffed bar on Saturday night and intermittent table service meant we had a long wait for drinks at the bar.",3,a year ago
278,One of the Best View near Canary Wharf. GREAT In a sunny day. Love the spirit and the Music as well in the Background... Will be back !,5,a year ago
279,"Amazing view, nice cocktails",5,a year ago
280,Situated at floor 38th so I think people come here for the view which is indeed worthwhile. Menu is not very expensive as you might assume in a place like this. Most people come here to take nice pictures ;) uploading some of my pictures that may make sense.,4,a year ago
281,Great place with perfection wiew. Expecially at evening.,5,11 months ago
282,Good service and great views,5,5 months ago
283,Great view!!,5,a month ago
284,"Great views looking west over to the city, expensive (but you'd expect that), average choice of drinks, poor service.",2,5 months ago
285,"Atmosphere was nice. Just the worst side that I find a hair in my meal. All they did doesn't charge me for the meal and apologise. I don't think that is the right way to treat the people in that kind of restaurant. Although staff was friendly. If I go there again ? Yes, sure NO for food.",3,a year ago
286,Great view and nice atmosphere,4,5 months ago
287,Good Cocktails with a great view.,5,6 months ago
288,"Breathtaking rooftop bar - following several rooftop hotel bars in Miami FL (USA), I found this location in London, and it really did impress. Perched on top of the Novotel on the 39th floor, this location offers incredible views of London, and a surreal opportunity to relax and unwind with a beverage (or few). Staff are very friendly/polite, and although prices are slightly high, it's well worth the experience. I fully intend to return.",5,a year ago
289,Fantastic view and amazing food!!,5,6 months ago
290,"Truly, one of the special places in the area. The views are amazing even from the WC and everything else is top notch.",5,a year ago
291,"Day and night, it’s really nice view and atmosphere. It worth to visit.",4,11 months ago
292,Great place to grab a drink! One of the best views of London without the crowds!,5,a year ago
293,Amazing rooftop. Def worth it,5,9 months ago
294,Really tasty cocktails and delicious food. The crab starter was amazing. The staff are friendly although we were waiting quite a while for service. Visited in February during a snow storm so the roof terrace was closed but views are still great from the bar.,4,2 years ago
295,"With an enclosed bar on the 38th Floor and an open air Space on the 39 Floor of the Novotel Tower, the Bokan boasts spectacular views of the city of London. Choose from.a variety of bespoke cocktails or settle in for a gin and tonic or a traditional beer... A must visit if you're in the Canary Wharf area.",5,a year ago
296,One of my favourite rooftop places in London. Their cocktails are amazing. I can't believe still yet not everyone have discovered this place!! Canary Wharf's gem.,5,a year ago
297,Perfect view from the rooftop,5,3 months ago
298,"Large selection of drinks, food was tasty, live music and great views.",5,a year ago
299,"It's abolutely amazing place to visit. Place, food, customer service and view out through the window - all fantastic!!! Would come back again and again 😍👌",5,a year ago
300,"Amazing views, great surroundings but the experience was sadly marred by very poor service.",2,6 months ago
301,"Amazing experience, fantastic food, great service and the best view",5,a year ago
302,A high-end bar and resto at the top of the Novotel hotel in Canary Wharf. Food and service were excellent and the view isn't bad either!,5,a year ago
303,"A great place for an amazing dining experience! Highly recommended. ...Breakfast, on the other hand, was too expensive for what it was.",5,a year ago
304,"Delicious food, excellent service and the ambiance was exceptional! Can't ask for much more. We had the taster menu, which was sublime :D",5,a year ago
305,Nice atmosphere and great view! Good value food and drinks too!,5,a year ago
306,What can I say that's not been said? The view is what makes this place amazing; it gives a whole different perspective of London and I felt like I was in one of those high class thrillers like Mission Impossible. I didn't know London looked like this? The prices weren't too shabby either.,4,a year ago
307,Gorgeous venue. Modern stylish with mixed clientele which I favour. Excellent cocktails and bar food good value. It's a fun venue.,5,10 months ago
308,"We landed from Scotland yesterday and went to Bokan. First impression: WOW!! Great place and great views. We went to the bar for lunch and were greeted by Pietro who made us feel warm and just like we are still back home, what a lovely man. The bar is fantastic, great selection of drinks and delicious cocktails prepared by Thomas. And to add the icing on the cake, we had a great conversation and a laugh with the manager Peter, who alongside his team are doing a fabulous job and clearly know what they are doing. We loved it! Bring Bokan to Scotland please!!",5,a year ago
309,I came here for a birthday on a Sunday afternoon and some of the party were late and staff were so patient and understanding. They were very accommodating to children as there is no children's menu and gave us s different options. Food was presented well and tasted amazing and the views of London are great. I would recommend this place for a special occasion - it was a lovely dining experience.,5,2 years ago
310,Nice bar with a great view. A couple of minutes away from Canary wharf. Nice place to go for drinks after work.,5,a year ago
311,Superb cutsomer service! Five star views! And economical reasonably considering!,5,a year ago
312,"Brilliant views, nice and polite staff, good drinks selection, nice food options, convenient location",5,a year ago
313,"Amazing views! The restaurant is designed to ensure that the tables are not too close to one another and ours had a perfect view. The menu has got delicious dishes. We had the fois gras, Welsh hen's egg, pigeon, lamb. The cocktails are good but the choice from the restaurant is limited. The bar upstairs is busier with music. Will go again!",5,a year ago
314,Really nice place...nice relaxed atmosphere and great customer service,5,a year ago
315,"Great cuisine, spectacular view.",5,6 months ago
316,Great views. Very nice decor. Slightly expensive but worth it atleast for a drink or 2.,4,a year ago
317,"The place is okay, if a little on the expenive side. The food is alright, the beer selection fine. What really gets it a bonus star is a spectacular view from the upper floor. If you have a chance to drop by - by all means do!",4,a year ago
318,"Beautiful place, great views, lovely decor and table settings. Poor, poor service!! Waited 30mins to get first round of drinks as table service. Then had to do 'self service' for second drinks, no one came round to table. Had to find drinks menu ourselves and find a member of staff to order. Wasn't even busy and plenty of staff. Wouldn't recommend to friends to be honest.",2,a year ago
319,"My favourite bar in Canary Wharf. Great setting, great drinks, non pretentious and actually good value for money!",5,a year ago
320,Awsome view over London,5,5 months ago
321,Gorgeous views of the city,5,4 months ago
322,Great view over the Thames towarfs Shard,4,10 months ago
323,Fab place and not too pricey! Loved it,5,10 months ago
324,Expensive but it's worth it for a special drink up at the roof terrace,5,6 months ago
325,"Food, view, drinks all really lovely. Staff were very helpful",5,a year ago
326,Top notch brand new venue! Amazing views of London with an outdoor rooftop terrace. Tasty cocktails and lovely food.,5,2 years ago
327,"Amazing views, tasty drinks and bites",4,9 months ago
328,"Amazing location with an outdoor roof top terrasse, good selection of drinks but food is so so.",4,a year ago
329,"I had one of my better burgers in a while here. Tasty cocktails. It has a great view over London too. It does get a little clubby. They did forget about our food order, but compensated with a few glasses of bubbles.",4,2 years ago
330,"Amazing views, friendly staff and understandable prices. Personally not a fan of their cocktails, but sure others will enjoy them.",4,a year ago
331,Some of the best views in London! !,5,8 months ago
332,Imaginative cuisine and great service. Expansive view of the city.,5,a year ago
333,"We had to find a table for a large group of people at the last minute. The hostess Veni was the main culprit for the great time that we had. She managed to sort a place for all of us to fit in and enjoy the amazing view accompanied by the great cocktails prepare by experienced staff. Would strongly recommend and yet again ""Thanks Veni""!",5,a year ago
334,"Amazing place, very good wine, stunning view, great atmosphere and price not so high for the level of the place",5,a year ago
335,Unbelievable food and we were sat next to the window which gave us a panoramic view to die for. Wonderful service as well,5,a year ago
336,"Enticing menu of European inspired dishes, using ancient & adopted British ingredients! Top floor of the recently opened (2017) Novotel Canary Wharf Hotel. Gorgeous rooftop terrace view of the Shard, London City, London Eye etc. Food is absolutely delicious. Everything is good (came multiple times). A true surprise is the mashed potatoes though, SUPER CREAMY and the best in the world. There is also Jazz On The Roof with live performances on certain days!",5,2 years ago
337,"The place is nice, the view is stunning, but the staff is absent minded, unfriendly and inefficient. We called before booking specially asking whether they could provide afternoon tea and we were assured they had a wide range of choices, when we got there they told us they had no afternoon tea at all",2,a year ago
338,"Great panoramic views and cosy atmosphere. Live Jazz music at times. Service was very slow, though friendly and apologetic. Received complementary snacks due to delay of first drink order, which didn't help the thirst. Second drink order took even longer.",3,a year ago
339,Ohh very very beautiful sights To see from the rooftop drinks are pricey but well worth it.,5,a year ago
340,"Beautiful views from the 38th floor of London""s Canary Wharf and a nice modern decor. Cocktail prices are a little steep, but the bartenders are all experienced and balance drinks well. Can get a little busy after work, but that's to be expected. Haven't eaten here yet, but will try soon!",4,a year ago
341,Roof top bar has great views over London. Atmosphere is relaxed. Drinks are quite costly.,4,a year ago
342,"We booked at the Novotel Canary Wharf after it had been recommmended by a trusted friend as a fun and chic place to be. We arrived Friday, had a smooth check in, went up to the bar and we were highly impressed by the views and the interiors then blown away by the service of Peter who we later found out that is the Bar Manager. Vaste knowledge, amazing personality and a really nice guy, he made us feel so welcome and warm. Breakfast in the morning was good, a bit disappointed by a member of staff called Sebastian I believe, quiet rude and arrogant ( I don’t know what for) and suddenly we see Peter again and the spark immediately comes back into the room. Very kind and caring to all his guests, he goes around greets everyone and makes them feel comfortable, despite some of the IT issues that morning, he delt with them and reassured everyone professionally. Thank you Novotel for a great hotel and for having one of your best assets: PETER!! We will be back!",5,a year ago
343,"Nice venue with good views of city. Good take on the 10-year-ago Brooklyn simulacrum, but could do with a few more Edison bulbs. Staff was attentive and barmen possess the requisite beards to make the Canary Wharf crowd feel like they're not in a Banker-catering chain hotel, so points there. Needs a better selection of local beers: Morretti, Curious, and Stella just won't do anymore.",4,2 years ago
344,"Amazing european food (plenty of dishes you can choose from!) and really good cocktails. If you want to spend your time in a fresh air, they have a cosy terrace too. If you want to get best deals, free drinks and see what's happening in venues before you go, we have a free app for that: bit.ly/Nightset_App",5,a year ago
345,We went there for drinks on Sunday afternoon and had a great time. The cocktails were very nice and the staff were very friendly. The views are amazing. We had four cocktails and some pretty substantial snacks and it was only £55 which I thought was great value for money. We'll definitely be going back.,5,2 years ago
346,Great view. Slow service. Great cocktail,4,a year ago
347,"Jazzy Sunday drinks. We are local to the area and have been watching the Novatel get built. We went there on Sunday about 5pm and listened to a Jazz combo while having a bottle of wine and some nibbles. The prices of drinks and food are typical hotel prices, but given the views and music, it was well worth the cost. Best to reserve as this will become quite popular once word gets around. Staff is still learning the ropes, so a little patience is warranted.",4,2 years ago
348,Two star as there were no tables as reserved apart from an area on the second level where we and three other groups were sitting until after about two hours we were told by security we shouldn't be sitting there. Funny as other guards and staff has seen us several times and said nothing.,2,a year ago
349,Sensational place for a business lunch in CW. Great views across London,5,a year ago
350,"Bokan bar is by far the best bar in a Canary Wharf, from the minute you step into the bar on the 38th floor, you are greeted with a smile, friendliness and care. Drinks and food are great and if you are lucky enough you get to meet the star of the show who is TE fantastic bar manager Peter. If I was a tv producer, I would have him on there all The time. Watching him work and entertain guests are a pure joy. We love Bokan!!!",5,a year ago
351,Great cocktails and even better views,5,a year ago
352,Amazing view,5,2 months ago
353,"Really nice place. Amazing views, good service. It's expensive definitely worth visiting.",4,2 years ago
354,"Had a lovely evening at this restaurant last year, food price is quite standard for a places like this with it's view. The staff were pleasant and the rooftop bar lounge would have been perfect had it not been so cold but a limited amount of blankets are available to help us bare the chill.",5,a year ago
355,"Great drinks, amazing decor and an unbelievable view. Hard to get a seat in the evenings and there is no smoking on the roof so you have to go all the way down to the outside of the hotel to smoke but all in all a cool place to see friends or for a date",4,a year ago
356,"My boyfriend took me to the restaurant for a birthday meal last night. We were greeted at front of house and after confirming our booking she also confirmed that we had ordered a cake - totally ruining the surprise for me from my boyfriend which was super upsetting... It really doesn't take a genius to guess that it would most likely be a surprise. And she barely even apologised. The view is amazing, as is the atmosphere. The waiting staff are very friendly and accommodating when they can be (all 3 of them). However, the service was SOOO slow. Nothing flowed, you're sober by the time you get your next drink and forgotten what you've ordered when you finally get your next course, it really let's the restaurant and experience down as a whole. Our starter wasn't great - we had the octopus and the red mullet but our mains were delicious. I'd really recommend the cake as it's absolutely devine and the staff make it really special when they bring it over (maybe just make it very clear when booking that it's a surprise). I wouldn't recommend the restaurant, but only the bar and terrace area as they are worth it more.",2,a year ago
357,Good but quite expensive,4,3 months ago
358,If only the service lived up to the view My partner ordered a medium-well burger that arrived pink in the middle. Sent it back and half an hour later a new burger arrived - you've guessed it: pink in the middle! Then took half an hour and prompts before we got the dessert menu. Fortunately the view leaves you in no hurry to leave,2,a year ago
359,Brilliantly appointed Hotel by Dockland light railway.Dini g is on 38th floor!,5,a year ago
360,"GREAT AMAZING COCKTAILS!! Unfortunately HORRIBLE SERVICE ! We were never seated had to walk around looking for seating , had to keep reminding the bartender over 3 times of our order and finally, it took forever to get served or handed a menu despite it not being busy . We went in a sunday night and the staff seemed distracted or just trying to get us to leave as they gave us the bill before we were even done ordering for the night",2,a year ago
361,Fantastic view. Great staff worth every penny,5,a year ago
362,"Great views, drink I ordered wasn't to my taste but that's my fault. Lovely staff",4,a year ago
363,Great food and service and of course the view! I asked for a vegan option and they prepared for me super good starter and main.,5,a year ago
364,A great view and a great place for a relaxing drink. Recommended!,5,a year ago
365,It Would be 1 star but the live music is normally quite tasteful . Their standards have dropped dramatically since it opened . We saved s space upstairs and the staff when we arrive were very dazed . The bar staff were rediculous . Very slow and rude. No manners or even a smile. Had to wait 15 minutes and after that had to scream for their attention ! The outdoor area was overcrowded and full of people having a common knees up . When we first came they made us feel special and wanted. This time round we were cattle ... sort it out !!! I’d avoid until they treat all their customers with respect .,2,a year ago
366,Nice views of London. Good cocktails!,4,a year ago
367,Banging bar /restaurant with amazing views. The terrace is amazing when weather allows it.,5,a year ago
368,Fantastic views over Canary Wharf and the City.,4,a year ago
369,"Great restaurant and attentive service. We really enjoyed the creative, original food; which was outstanding. To top it with nice views and selection of wines. A bit expensive but worth a visit.",5,2 years ago
370,"It is a nice venue,good light and nice internal design. Plus it offers 3 different well 4 areas to spend your time in with a lovely view. But the food and serving is not high standarts as it could provide if focused sincerely. Well havent tried all the dishes in the menu yet but it would enhance the experience if they focus on minus issues and perhaps get an advice from a gourmet or a good chef. Well i will definetely visit again and recommend too.😉",2,a year ago
371,Perfect place to socialize with friends! The view from the rooftop is absolutely stunning,5,a year ago
372,Great views over the city. Extremely good food. Staff was very friendly.,5,a year ago
373,"Great burger, stunning view",5,5 months ago
374,Amazing views,5,3 months ago
375,"Want twinkly views, slick decor and drinks that don't cost the earth? Come here 💫 Fantastic rooftop and ambience, with very charming staff who seem genuinely pleased to work there. Follow @thismodeleatsalot on FB/Instagram!",5,a year ago
376,This restaurant is advertised to be a Mediterranean restaurant however the dishes are international. Disappointing.,1,11 months ago
377,"Bokan spreads over three floors: the restaurant on the 37th, the bar on the 38th and the roof terrace on the 39th. The vibe is great and drinks and food are very good. However, the best part is the breathtaking view of London and Canary Wharf.",5,a year ago
378,"Great cocktails and very friendly service. But the best bit has to be the superb view from such a high garage point. Amazing views all over Canary Wharf, the Thames and towards some of London's best landmarks. Perfect for sunset drinks, for the views alone.",4,2 years ago
379,Amazing view on London downtown from 39 floor,5,7 months ago
380,Perfect place,5,3 months ago
381,Lovely view! Manager was friendly and very attentive.,5,a year ago
382,Cool Canary and river views,5,8 months ago
383,Nice view....nice to sit down outside or inside or meeting up for a drink ...but do not drive....hard to find parking or need to walk a while to Bokan,4,a year ago
384,"Amazing views, a bit pricey but to be expected for such a place, very nice",5,a year ago
385,"Love the place! Excellent stylish interior, the view is worth dying for, excellent if you want to impress someone or for a company of friends. Prices aren’t cheap, but aren’t too expensive. A bottle of wine around £30 but it’s totally worth it!",5,a year ago
386,Always stunning view and excellent service,5,9 months ago
387,"They didn't make the cocktail correctly, leaving out one of the ingredients. When I asked where was the missing ingredient there was no apology and a statement that the bar must have run out of it. They then just walked off! Incredibly rude and poor service. If they can't make the drink correctly then they should inform customers before making it or apologise.",1,a year ago
388,Great view,5,3 months ago
389,"This place can easily get a 5 but the service is so terrible that you lose your appetite. That's what happened with us. My sister waited 11 minutes to be seated. Not because it was busy but that's how long for someone to greet her. I joined her about 20-25 minutes later and her pea soup still wasn't out. It's soup! You have to get your own water, or at least that's what I think considering we asked for some and we never got any. For our mains which were the cheese board, vegetarian gnocchi and a salad and that took 50 minutes! Without any explanation from our server as to why it took so long. She never even came back to ask us how it was or offer us the dessert menu. We didn't even want to order any more at that point because we didn't want to be there for another hour. Then our server just up and disappeared. We had to ask some random lady (I think the hostess) for our check. I can't stand paying a service charge for such bad service! Unacceptable! I will say that the food is very good though and the cocktail menu looks phenomenal.",2,2 years ago
390,"The best views of London, in London, bar none! Bokan actually benefits from being a 5-10 min walk from the nearest DLR station as it means it never gets too busy and attracts a more mixed crowd (not just braying bankers). Get off at Canary Wharf, if your navigation skills are buffed, or alight at South Quay if your map reading is a bit iffy. Fabulous decor, good menu (if a little on the expensive end of the value spectrum) and all-in-all a really rather exceptional venue. If they could just improve the patchy service (and drop their prices by 10-20%) they’d bag five star reviews galore for sure. And to cap it, gentlemen may relieve themselves over the Thames Barrier (without facing arrest). Winner!",4,a year ago
391,"Amazing views and good, friendly service.",5,10 months ago
392,Faultless food. I could not believe it. A little gem of a surprise!!!,5,a year ago
393,"I have been to Bokan a few times since it opened. Food and drinks are very nice, but whenever I go there is always something that spoils the experience. This weekend we booked this restaurant to celebrate our wedding anniversary. At the time of booking it wasn’t made clear that a la carte menu won’t be available on weekends and you can only get the deal with bottomless Prosecco. If we knew this, we wouldn’t have booked it here. It’s not a great deal for someone who doesn’t like Prosecco or doesn’t drink alcohol, as they have no other option. You basically get charged for Prosecco regardless if you want it or not. Menu is also limited to couple of cheaper dishes from larger a la carte menu. I thought that this restaurant was aspiring to get a Michelin star, but with this kind of deals and lack of options for the customers I don’t think they are aiming for this anymore. It’s a shame as this place has so much potential with a very promising chef. Food was very nice, and service was very good.",4,a year ago
394,Very friendly and thoughtful staff. The food is perfect in quality and taste.,5,a year ago
395,In general it is a very nice atmosphere to relax and enjoy your evening with your friends,5,a year ago
396,New modern bar with superb view. Tricky to find the place and in the evening might need to queue. Offer both food and drinks.,5,2 years ago
397,Amazing view and nice cocktails. They also have live music on some nights.,5,a year ago
398,Amazing view and interior design! Recommend!,5,a year ago
399,Great steak and good food overall. There is a nice bar there as well. Spacious and cozy place. :),5,2 years ago
400,"Good selection of drinks, happily affordable. Great views of the City. Staff were really accommodating, we had extra people join our table during the evening and they provided with seating. They could do with adding a wider selection of bars food, but if you really can't wait you could always venture one floor down to the restaurant!",4,2 years ago
