Restaurant Name,Price_range,Cuisine,number_of_reviews,Overall_rating,Sub_Ratings,tags,number_of_pics,number_of_5classes_ratings
New Ming,££ - £££,"['Chinese', 'Asian']",76,3.5,"[4.0, 4.0, 4.0, 3.5]","['duck ', 'all you can eat ', 'entrance door ', 'male waiter ', 'lovely meal ', 'family meal ', 'nice atmosphere ', 'takeaway ', 'dishes ', 'starters ', 'delivery ', 'phone ']",1,"['26', '20', '12', '6', '12']"
Imm Thai Fusion,££ - £££,"['Thai', 'Asian', 'Vegetarian Friendly']",26,3.5,"[3.0, 3.0, 3.0]",[],13,"['11', '5', '4', '3', '3']"
VQ Notting Hill,££ - £££,"['Cafe', 'British', 'Vegetarian Friendly']",145,4,"[4.0, 4.5, 4.0]","['brunch ', 'bubble squeak ', 'poached eggs ', 'salad ', 'ribs ', 'burger ', 'portobello road ', 'full english breakfast ', 'favourite breakfast ', 'this place by chance ', 'all day breakfast ', 'varied menu ', 'home made ', 'friendly atmosphere ', 'food was lovely ', 'nottinghill ', 'tube ']",60,"['61', '25', '9', '10', '10']"
Preto Queensway,££ - £££,"['Steakhouse', 'Latin']",266,4,"[4.0, 4.0, 3.5]","['beef ', 'unlimited meat ', 'rice ', 'stew ', 'potatoes ', 'salad bar ', 'all you can eat ', 'mini rodizio ', 'wide variety of salads ', 'brazilian bbq ', 'love meat ', 'cuts of meat ', 'friends birthday ', 'the food is great ', 'saturday evening ', 'per head ', 'at lunchtime ']",98,"['57', '51', '17', '11', '12']"
Jin Kichi,££ - £££,"['Japanese', 'Sushi', 'Asian']",251,4.5,"[4.5, 4.0, 4.0, 4.0]","['skewers ', 'sashimi ', 'yakitori ', 'cod ', 'fatty tuna ', 'edamame ', 'rice ', 'soups ', 'salad ', 'japanese food ', 'hampstead tube station ', 'plum wine ', 'sitting at the bar ', 'charcoal grill ', 'spring onion ', 'great sushi ', 'small place ']",76,"['130', '73', '14', '5', '9']"
Bar Remo,££ - £££,"['British', 'Vegetarian Friendly', 'Vegan Options']",1212,4.5,"[4.5, 4.5, 4.5, 4.5]","['pasta ', 'tiramisu ', 'prawns ', 'bread ', 'steak ', 'oxford circus ', 'off regent street ', 'london palladium ', 'visited bar ', 'italian food ', 'west end ', 'pre theatre meal ', 'booked a table ', 'service charge ', 'downstairs ', 'mayfair ']",330,"['634', '232', '47', '13', '17']"
Brasserie,££ - £££,['French'],12,4,[],[],4,"['6', '2', '3', '1', '0']"
Priya,,['Asian'],13,4,[],[],2,"['8', '2', '1', '0', '2']"
The Galley,£,"['Indian', 'British', 'Mediterranean']",9,4.5,[],[],7,"['7', '1', '0', '1', '0']"
Bronco's Bar-B-Q & Ribshack,££ - £££,['Barbecue'],25,3.5,[],[],16,"['7', '7', '5', '3', '2']"
The Good Companions Fish & Chips,,['British'],7,4.5,[],[],2,"['6', '0', '0', '1', '0']"
Mandalay,£,"['Asian', 'Burmese', 'Vegetarian Friendly']",209,4,"[4.5, 4.5, 4.5, 3.5]",[],36,"['103', '46', '18', '12', '7']"
Wayside Fish Bar,,"['Seafood', 'Fast food']",11,4.5,[],[],1,"['10', '0', '0', '0', '1']"
Mil Kitchen,££ - £££,"['Cafe', 'European', 'Vegan Options']",50,4.5,"[5.0, 4.5, 4.5]","['brunch ', 'pancakes ', 'hummus ', 'mango ', 'fulham ']",14,"['30', '13', '3', '1', '2']"
portifino,,['Italian'],8,4.5,[],[],1,"['5', '2', '1', '0', '0']"
The Ritz Restaurant,££££,"['European', 'British', 'Vegetarian Friendly']",2486,4.5,"[4.5, 4.5, 4.0, 4.5]","['petit fours ', 'souffle ', 'amuse bouche ', 'lamb ', 'halibut ', 'three course meal ', 'sandwiches ', 'bread ', 'tasting menu ', 'macaroons ', 'glass of champagne ', 'rivoli bar ', 'afternoon tea ', 'jacket and tie ', 'special occasion ', 'the palm court ', 'service was impeccable ']",0,"['1,723', '336', '157', '58', '48']"
Spice of India,££ - £££,['Indian'],24,4,"[4.0, 4.0, 4.0, 5.0]",[],3,"['13', '3', '6', '0', '1']"
The Malt House,££ - £££,['British'],224,4,"[4.0, 4.0, 3.5, 4.0]","['fish and chips ', 'sea bream ', 'steak ', 'pudding ', 'chicken ', 'ice cream ', 'fulham broadway station ', 'the pub ', 'beer garden ', 'lovely dinner ', 'lovely atmosphere ', 'alehouse ', 'gastro ', 'roast ', 'chelsea ', 'ales ']",60,"['86', '65', '33', '12', '14']"
The King's Arms,££ - £££,['British'],60,3.5,"[3.5, 3.5, 3.5, 3.5]","['lamb ', 'great roast dinner ', 'pub ', 'condiments ', 'pint ']",7,"['21', '19', '4', '5', '11']"
Oscars Fish & Chips,££ - £££,"['Seafood', 'Fast food']",23,4,"[5.0, 5.0, 5.0]",[],5,"['15', '2', '1', '1', '4']"
Butties,,['Fast food'],6,5,[],[],4,"['6', '0', '0', '0', '0']"
The Alma Tavern,££ - £££,[],19,4,"[3.5, 3.5, 3.5]",[],5,"['9', '3', '2', '2', '2']"
Giraffe,,['International'],27,3.5,"[3.5, 4.5, 3.5]",[],0,"['3', '9', '6', '2', '0']"
Zeera Indian Takeaway,££ - £££,['Indian'],7,4.5,[],[],1,"['4', '2', '1', '0', '0']"
Fatboys,£,['Cafe'],12,4,"[4.0, 4.5, 4.5]",[],8,"['6', '4', '0', '1', '1']"
Sushimania,££ - £££,"['Japanese', 'Sushi', 'Asian']",180,3.5,"[3.5, 2.5, 3.5, 3.5]","['sushi ', 'salmon sashimi ', 'katsu ', 'fries ', 'half price ', 'all you can eat ', 'hot dishes ', 'the food is great ', 'been coming here for years ', 'food quality ', 'bottomless ', 'limit ', 'vegetarian ']",33,"['59', '43', '23', '19', '34']"
The Hammersmith Cafe,£,['Thai'],35,4,"[4.0, 4.0, 4.5, 4.0]",[],2,"['14', '13', '2', '3', '3']"
Caffe Granello,£,"['British', 'Italian']",9,4.5,[],[],11,"['7', '1', '0', '0', '1']"
William Camden Pub,£,['British'],105,3.5,"[3.5, 3.5, 3.5]","['burger ', 'great pub ', 'served promptly ', 'baby shower ', 'member of staff ', 'pint ']",32,"['37', '24', '14', '11', '19']"
Celeste,££££,"['French', 'European', 'British']",539,4.5,"[4.5, 4.5, 4.0]","['scones ', 'amuse bouche ', 'coronation chicken ', 'tasting menu ', 'finger sandwiches ', 'stone bass ', 'petit fours ', 'chocolate bomb ', 'scotch egg ', 'sorbet ', 'lamb ', 'foie gras ', 'bread ', 'halibut ', 'pastry ', 'pudding ', 'soup ']",628,"['319', '89', '41', '23', '6']"
Damascene,£,"['Barbecue', 'Middle Eastern']",13,4,[],"['kibbeh ', 'lentil soup ', 'lamb ', 'kebab ', 'syrian ', 'sauce ', 'taste ']",2,"['6', '4', '1', '0', '2']"
Golden Sip,££ - £££,"['Indian', 'Asian']",62,3.5,"[3.5, 3.5, 3.5, 4.0]","['fried momos ', 'curry ', 'fries ', 'nepalese food ', 'great service and great food ', 'sukuti ', 'indian ']",12,"['29', '7', '9', '2', '15']"
Delhi Kitchen,££ - £££,"['Indian', 'Asian']",14,4,"[4.0, 4.5, 4.0]",[],8,"['10', '1', '1', '0', '2']"
Two Point,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",235,4.5,"[4.5, 4.5, 4.5, 4.0]","['thai food ', 'steamed scallops ', 'green curry ', 'curries ', 'satay ', 'chicken pad thai ', 'soup ', 'lamb ', 'have eaten here ', 'quick lunch ', 'booked a table ', 'spicy ', 'starters ', 'platter ', 'pub ', 'takeaway ']",42,"['131', '51', '16', '5', '6']"
Melbourne Take Away,£,"['Fast food', 'Chinese']",28,4,"[4.0, 4.5, 4.0]",[],1,"['13', '8', '3', '1', '3']"
MK Bar and Grill,££ - £££,"['Mediterranean', 'European', 'Vegetarian Friendly']",357,4,"[4.0, 4.0, 3.5, 3.5]","['beef stroganoff ', 'banoffee pie ', 'french onion soup ', 'tuna ', 'prawns ', 'the royal albert hall ', 'citadines hotel ', 'varied menu ', 'lovely food ', 'visited this restaurant ', 'rah ', 'bowl ']",38,"['103', '113', '53', '24', '19']"
Helene Darroze at The Connaught,££££,"['French', 'Vegetarian Friendly', 'Vegan Options']",1132,4.5,"[4.5, 4.5, 4.0, 4.0]","['foie gras ', 'petit fours ', 'amuse bouche ', 'tasting menu ', 'white truffle ', 'rum baba ', 'chocolate dessert ', 'wagyu beef ', 'bread ', 'lobster ', 'hake ', 'ham ', 'sea bass ', 'salad ', 'cakes ', 'helene darroze ', 'set lunch ']",0,"['653', '159', '78', '57', '21']"
Doan Gia,£,['Vietnamese'],5,4.5,[],"['pho ', 'spring rolls ', 'takeaway ', 'order ', 'menu ']",4,"['3', '2', '0', '0', '0']"
Stagolee's Hot Chicken & Liquor Joint,££ - £££,['American'],42,4.5,"[4.5, 4.5, 4.5]",[],33,"['32', '7', '1', '0', '1']"
Cinnamon Sandwich Bar,££ - £££,['Cafe'],7,5,"[4.5, 4.5, 5.0]",[],0,"['6', '1', '0', '0', '0']"
Pizza Treat,£,"['Pizza', 'Fast food', 'Vegetarian Friendly']",47,3.5,"[4.0, 3.5, 3.5]",[],14,"['14', '11', '5', '6', '6']"
Charcoal Chicken,£,"['Fast food', 'Barbecue', 'Halal']",20,4,"[4.5, 4.0, 4.5]",[],3,"['7', '9', '1', '2', '1']"
Little India,,['Indian'],9,4.5,[],[],2,"['7', '0', '1', '1', '0']"
French And Grace,£,[],12,4.5,[],[],1,"['7', '4', '0', '1', '0']"
Crocker's Folly,££ - £££,"['Lebanese', 'Middle Eastern']",343,4,"[4.0, 4.0, 4.0, 4.0]","['kibbeh ', 'hummus ', 'sea bass ', 'mixed grill ', 'lamb ', 'rice ', 'pudding ', 'lebanese cuisine ', 'maida vale ', 'service was impeccable ', 'with some friends ', 'waiting staff ', 'lords ', 'pub ']",100,"['185', '75', '34', '19', '19']"
Jak's Kings Road,££ - £££,"['Vegetarian Friendly', 'Vegan Options']",313,4,"[4.0, 3.5, 3.5, 4.0]","['pizza ', 'cake ', 'love this place ', 'friday night ', 'generous portions ', 'booked a table ', 'chelsea ']",74,"['139', '72', '25', '19', '23']"
Rosy Lea Cafe,£,['Cafe'],8,4.5,[],[],2,"['4', '4', '0', '0', '0']"
Top One Takeaway,££ - £££,"['Chinese', 'Fast food']",13,4,"[4.0, 4.5, 4.5]",[],4,"['8', '3', '0', '1', '1']"
Cinnamon Indian,££ - £££,"['Indian', 'Asian']",26,4,"[4.5, 4.0, 4.5, 4.0]",[],0,"['10', '8', '4', '2', '1']"
Bombay Flame,££ - £££,"['Indian', 'Asian']",247,4.5,"[4.5, 4.5, 4.5, 4.0]","['mutton ', 'naan bread ', 'mixed grill ', 'chicken ', 'indian food ', 'local indian ', 'extensive menu ', 'dishes ', 'spicy ', 'takeaway ', 'delivery ', 'mains ']",32,"['172', '37', '10', '4', '5']"
Caffe Nero,,['Cafe'],9,4.5,[],[],0,"['4', '3', '0', '0', '0']"
Simit Sarayi,£,"['Turkish', 'Cafe']",15,4,[],[],5,"['7', '3', '0', '3', '1']"
The Raj,££ - £££,"['Indian', 'Asian']",115,3.5,"[3.5, 3.5, 4.0, 3.5]","['curry ', 'dhansak ', 'prices are reasonable ', 'saturday night ', 'tasty food ', 'consistency ']",10,"['47', '20', '20', '5', '22']"
Kebab House,£,"['Fast food', 'Turkish']",8,4.5,[],[],0,"['4', '4', '0', '0', '0']"
Imperial Nights,£,"['British', 'Greek', 'Fusion']",5,5,[],[],7,"['5', '0', '0', '0', '0']"
Nawab To Go,££ - £££,"['Indian', 'Asian']",42,4,"[4.0, 4.5, 4.0, 5.0]",[],7,"['25', '2', '2', '7', '6']"
Nando's Edgware,££ - £££,['Portuguese'],56,3.5,"[4.5, 4.0, 4.0, 3.5]",[],13,"['14', '22', '8', '3', '8']"
Foodiewuwdies,££ - £££,['Deli'],14,4.5,"[4.5, 4.5, 4.5]",[],23,"['11', '1', '1', '0', '1']"
The Rose & Crown,£,['British'],44,4,"[3.5, 4.0, 4.0]","['new owners ', 'the pub ', 'sunday lunch ', 'regular menu ', 'nice lunch ', 'food is excellent ', 'quiz ', 'roast ', 'regulars ', 'ages ']",24,"['22', '10', '2', '2', '8']"
Melting Point Bistro,££ - £££,['Cafe'],8,4.5,[],[],7,"['6', '1', '0', '0', '1']"
Leefe Robinson,££ - £££,"['Steakhouse', 'British']",85,3.5,"[3.5, 3.5, 3.0, 3.5]",[],10,"['24', '23', '19', '8', '11']"
About Thyme Restaurant,££ - £££,"['Mediterranean', 'European', 'Spanish']",989,4.5,"[4.5, 4.5, 4.0, 4.5]","['tapas ', 'veal chop ', 'stuffed peppers ', 'white asparagus ', 'sea bass ', 'courgette flowers ', 'gazpacho ', 'crab linguine ', 'kidney ', 'liver ', 'octopus ', 'potatoes ', 'bread ', 'salad ', 'victoria station ', 'wilton road ', 'set menu ']",258,"['548', '228', '31', '11', '6']"
Cafe on the Green,£,['Cafe'],10,4.5,[],[],1,"['5', '4', '1', '0', '0']"
Golden Orient,££ - £££,['Chinese'],13,4,[],[],0,"['4', '6', '2', '0', '1']"
Balkan Taste,££ - £££,"['Italian', 'Pizza', 'European']",4,5,[],[],1,"['4', '0', '0', '0', '0']"
Caffe Caffe,£,"['Cafe', 'Vegetarian Friendly']",64,4,"[4.0, 4.0, 4.0]","['ice cream ', 'cakes ', 'almond croissant ', 'coffee spot ', 'friendly service ', 'good quality food ', 'smoothies ', 'twickenham ']",10,"['37', '15', '2', '1', '9']"
Waffle Jack's American Diner,£,"['American', 'Vegetarian Friendly', 'Vegan Options']",263,4.5,"[4.0, 4.5, 4.0]","['corn dogs ', 'mini burgers ', 'onion rings ', 'red velvet waffles ', 'ice cream ', 'nachos ', 'pancakes ', 'steak ', 'interactive table ', 'great waffles ', 'maple syrup ', 'enjoyed our food ', 'sharing platter ', 'big portions ', 'fabulous food ', 'portion size ', 'milkshakes ']",146,"['182', '39', '12', '13', '16']"
Great Wall,£,['Fast food'],12,4.5,[],[],1,"['9', '1', '0', '0', '1']"
Mel's Cafe,£,['Cafe'],12,4.5,"[4.0, 3.5, 4.0]",[],0,"['8', '2', '0', '1', '1']"
Jinli,££ - £££,"['Chinese', 'Asian', 'Vegetarian Friendly']",52,3.5,"[3.5, 3.0, 3.0]","['chilli ', 'charged pounds ', 'hillingdon ', 'hospital ', 'dishes ', 'heathrow ']",23,"['18', '13', '6', '3', '9']"
The Union Chiswick,££ - £££,"['British', 'Vegetarian Friendly']",61,3.5,"[3.5, 4.0, 3.0, 3.5]",[],17,"['16', '18', '10', '7', '8']"
Kanenas,££ - £££,"['Mediterranean', 'Greek']",4,5,[],[],11,"['4', '0', '0', '0', '0']"
Taj Mahal Restaurant,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",57,3.5,"[3.5, 4.0, 3.5, 3.5]","['curry ', 'indian restaurant ', 'richmond ', 'takeaway ', 'mains ']",5,"['19', '15', '8', '6', '7']"
Caffeinate,££ - £££,['Cafe'],4,5,[],[],3,"['4', '0', '0', '0', '0']"
The Nest,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",17,4,[],[],1,"['10', '1', '3', '1', '2']"
Espress-Mo,£,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",23,4.5,"[5.0, 5.0, 5.0]","['lunch ', 'lasagna ', 'sandwiches ', 'salad ', 'great coffee ', 'take away ', 'tasty food ', 'olympia ', 'exhibition ']",23,"['18', '2', '0', '0', '1']"
Jashan Vegetarian Restaurant,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",44,3.5,"[4.0, 3.5, 4.0, 3.0]",[],4,"['13', '13', '8', '6', '4']"
Jack's at the Junction,£,"['Cafe', 'British', 'Vegetarian Friendly']",375,4.5,"[4.5, 4.0, 4.5, 4.0]","['brunch ', 'hash browns ', 'salad ', 'clapham junction ', 'bottomless coffee ', 'american pancakes ', 'tomato ', 'egg ']",93,"['217', '74', '29', '10', '18']"
Lahore Palace,,"['Middle Eastern', 'Pakistani']",4,5,[],[],1,"['3', '0', '0', '0', '0']"
Oriental Chinese Takeaway,,['Chinese'],10,4.5,[],[],0,"['7', '1', '1', '0', '1']"
#Coffee_Dope,£,"['French', 'Cafe', 'European']",4,5,[],[],10,"['4', '0', '0', '0', '0']"
Gianluca's,££ - £££,"['Italian', 'Cafe', 'British']",87,4.5,"[4.5, 4.5, 4.0]","['brunch ', 'brownie ', 'cakes ', 'fulham broadway ', 'great coffee ', 'coffee place ', 'coconut milk ', 'warm atmosphere ', 'delicious food ', 'latte ', 'slice ']",57,"['56', '10', '3', '6', '4']"
The Gardeners Arms,£,['Indian'],5,5,[],[],2,"['4', '1', '0', '0', '0']"
Jolly's Fish & Chip Shop,,['British'],8,4.5,[],[],0,"['3', '4', '1', '0', '0']"
Amaranto Restaurant at Four Seasons,££££,"['Italian', 'European', 'Vegetarian Friendly']",324,4.5,"[4.5, 4.5, 4.0, 4.5]","['brunch ', 'sandwiches ', 'fritto misto ', 'pasta ', 'potatoes ', 'steak ', 'afternoon tea ', 'dinner with friends ', 'lovely ambience ', 'set menu ', 'sit outside ', 'lovely evening ', 'attentive service ', 'bellini ', 'courses ', 'sommelier ', 'dairy ']",255,"['161', '88', '24', '5', '9']"
Hand and Flower,££ - £££,['British'],257,3.5,"[3.5, 3.5, 3.5, 3.5]","['fish and chips ', 'pie ', 'nice pub ', 'selection of beers ', 'pub food ', 'olympia ', 'exhibition ', 'stout ']",66,"['53', '99', '45', '16', '20']"
That's Amore by Fonte,££ - £££,"['Italian', 'Pizza', 'Mediterranean']",342,4.5,"[4.5, 4.5, 4.5, 4.5]","['pizza ', 'tiramisu ', 'spaghetti ', 'temple fortune ', 'wood fired oven ', 'local italian restaurant ', 'amazing food ', 'home made ', 'visited this restaurant ']",129,"['218', '43', '15', '9', '18']"
Slug & Lettuce Sutton,££ - £££,['British'],167,3.5,"[3.0, 3.5, 3.5]","['vip area ', 'birthday drinks ', 'great cocktails ', 'local place ', 'christmas meal ', 'lovely atmosphere ', 'saturday night ', 'lovely evening ', 'the pub ', 'booked a table ', 'karl ', 'sore ']",28,"['72', '23', '13', '9', '49']"
Nuntee,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",117,4,"[4.0, 4.0, 4.0, 4.0]","['pad thai ', 'crispy duck ', 'mixed starter ', 'delicious options ', 'lunch offer ', 'delicious thai food ', 'menu is extensive ', 'great restaurant ', 'at lunchtime ', 'fulham ', 'mains ', 'pounds ']",14,"['53', '43', '5', '6', '6']"
Small & Beautiful,££ - £££,"['Italian', 'European', 'Vegetarian Friendly']",265,4,"[4.0, 4.0, 4.0, 3.5]","['pizza ', 'risotto ', 'tiramisu ', 'chicken ', 'potatoes ', 'kilburn high road ', 'varied menu ', 'excellent food and service ', 'lovely evening ', 'lisburn ', 'kiln ', 'tomato ', 'eatery ', 'theatre ']",160,"['132', '48', '29', '22', '23']"
Tasty Bites,,"['Indian', 'Asian', 'Vegetarian Friendly']",15,4,"[4.0, 3.5, 3.5]",[],3,"['8', '2', '1', '3', '1']"
Nando's Ealing - Bond Street,££ - £££,['Portuguese'],79,3.5,"[3.5, 3.5, 3.5]","['coleslaw ', 'peri peri chicken ', 'burger ', 'hot sauce ', 'great meal ', 'amazing food ', 'sides ']",14,"['21', '15', '13', '9', '11']"
Coach House,££ - £££,['British'],26,3.5,"[3.5, 3.5, 3.5]","['beef ', 'booked a table ', 'carvery ', 'meats ', 'starters ']",0,"['10', '7', '4', '2', '3']"
Mere,££££,"['European', 'Vegetarian Friendly', 'Vegan Options']",808,4.5,"[4.5, 4.5, 4.5]","['tasting menu ', 'scallops ', 'rose veal ', 'cornish cod ', 'comte cheese ', 'stone bass ', 'tortelli ', 'lamb ', 'amuse bouche ', 'baked alaska ', 'ham hock ', 'mousse ', 'peas ', 'bread ', 'pasta ', 'hokey pokey ', 'master chef ']",805,"['619', '102', '49', '20', '1']"
Quinto/Quarto,,['Italian'],9,5,"[4.5, 4.5, 5.0, 4.5]",[],3,"['5', '1', '0', '0', '0']"
Thai Villa,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",33,3.5,"[3.5, 3.0, 3.5]",[],6,"['9', '10', '9', '2', '3']"
Hayes Street Kitchen,£,"['Cafe', 'British', 'Vegetarian Friendly']",27,4,"[3.5, 3.5, 3.5]",[],5,"['13', '6', '4', '1', '3']"
Pizza Go Go,,['Pizza'],10,4.5,[],[],0,"['8', '1', '0', '0', '1']"
Raj Of India,££ - £££,"['Indian', 'Asian']",38,3.5,"[4.0, 3.5, 3.5]","['curry ', 'banquet night ', 'collier ', 'row ', 'starters ', 'dish ']",0,"['17', '6', '3', '5', '7']"
Phoenix on the Hill,££ - £££,"['Chinese', 'Asian', 'Vegetarian Friendly']",69,3.5,"[4.0, 4.0, 3.5, 3.5]",[],10,"['24', '18', '9', '9', '9']"
Kebab Centre,£,"['Fast food', 'Turkish', 'Middle Eastern']",50,5,"[5.0, 5.0, 4.5]",[],8,"['46', '2', '1', '0', '0']"
Bombay Palace,££ - £££,"['Indian', 'Asian', 'Healthy']",321,4,"[4.5, 4.0, 3.5, 4.0]","['curry ', 'lamb rogan josh ', 'gosht ', 'kulfi ', 'butter chicken ', 'naan ', 'prawns ', 'salad ', 'potatoes ', 'indian food ', 'best indian ', 'lunch party ', 'business dinner ', 'recommend this restaurant ', 'west end ', 'starters ', 'paddington ']",98,"['152', '78', '40', '13', '16']"
Kingshill Kebabs,,"['Turkish', 'Fast food']",8,4.5,[],[],0,"['4', '3', '1', '0', '0']"
Patty & Bun,££ - £££,"['American', 'Fast food']",1356,4.5,"[4.5, 4.0, 4.0, 4.0]","['burger ', 'pastry ', 'wings ', 'fries ', 'chicken skin ', 'salad ', 'smokey robinson ', 'ari gold ', 'jose jose ', 'james street ', 'hot sauce ', 'small place ', 'fast food ', 'mayo ', 'rosemary ', 'medium ', 'sides ']",437,"['626', '314', '97', '38', '51']"
Awesome Chips,£,"['Fast food', 'European']",9,4,[],[],4,"['6', '1', '1', '0', '1']"
Khans Walton On Thames,££ - £££,"['Indian', 'Asian']",81,3.5,"[3.5, 4.0, 3.5, 3.0]","['curry ', 'naan bread ', 'indian food ', 'ordered online ', 'take away ', 'walton ', 'veg ']",2,"['32', '23', '5', '5', '16']"
Yo! Sushi,,['Sushi'],10,4,[],[],13,"['2', '5', '3', '0', '0']"
Taj Restaurant,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",23,4,"[4.0, 4.5, 4.0]",[],1,"['11', '6', '2', '1', '3']"
Cafe La Cigale,£,['Cafe'],8,4.5,[],[],14,"['6', '1', '0', '1', '0']"
Hare & Hounds Greenford,,['British'],11,4,[],[],1,"['3', '6', '2', '0', '0']"
Hotspice Caribbean Restaurant,££ - £££,"['Caribbean', 'Jamaican']",39,3.5,"[4.0, 4.0, 4.0]",[],16,"['13', '14', '3', '1', '7']"
Take A Break,£,"['Cafe', 'British', 'Vegetarian Friendly']",18,4,"[4.0, 4.0, 4.0]",[],1,"['8', '6', '0', '1', '3']"
The Harvest Moon,£,['British'],62,3.5,"[4.0, 4.0, 4.5]",[],12,"['20', '12', '12', '7', '9']"
"The Ash Tree, Ashford",£,[],23,4,"[4.0, 4.5, 4.0, 4.5]",[],14,"['12', '7', '0', '0', '4']"
Joeys Food Factory,££ - £££,['Indian'],7,4.5,[],[],3,"['6', '0', '0', '0', '1']"
Orama,££ - £££,"['Mediterranean', 'Greek', 'Vegetarian Friendly']",81,3.5,"[3.5, 3.5, 3.5]","['vegetable kebab ', 'plate smashing ', 'belly dancing ', 'traditional greek food ', 'birthday party ', 'food was amazing ', 'fab night ', 'disco ', 'cousins ', 'vegetarian ']",17,"['37', '12', '4', '12', '16']"
Bobby Fitzpatrick,££ - £££,['Pizza'],65,4.5,"[4.0, 4.5, 4.0]","['brunch ', 'pizza ', 'meatballs ', 'great place for cocktails ', 'great evening ', 'love this place ', 'last night ', 'hampstead ', 'downstairs ', 'basement ']",65,"['45', '14', '4', '0', '1']"
The Moon Under Water,£,"['Healthy', 'British']",85,3.5,"[3.5, 4.0, 4.0, 3.5]","['curry ', 'typical wetherspoons ', 'bar staff are ', 'great pub ', 'pint ', 'pubs ', 'ale ']",14,"['21', '30', '13', '8', '12']"
Touch of Noir,££ - £££,"['Spanish', 'British', 'Mediterranean']",74,3.5,"[3.5, 3.5, 3.5]",[],21,"['41', '6', '1', '7', '19']"
Soya,,"['Asian', 'Korean']",6,5,[],[],15,"['5', '1', '0', '0', '0']"
Harris and Hoole,£,['Cafe'],27,3.5,"[3.5, 4.0, 3.5]",[],2,"['6', '11', '6', '1', '3']"
Zeenat Fine Cuisine,££ - £££,['Middle Eastern'],8,4.5,[],[],19,"['7', '0', '0', '0', '1']"
Chop Suey Centre,££ - £££,"['Chinese', 'Fast food', 'Asian']",20,4,[],[],1,"['13', '2', '0', '2', '3']"
Papa John's Pizza,£,['Pizza'],7,4.5,[],[],0,"['4', '3', '0', '0', '0']"
Paradise Garden,££ - £££,"['Persian', 'Middle Eastern']",21,4,"[4.0, 3.0, 4.0, 3.5]",[],3,"['7', '9', '2', '2', '1']"
Man Bow House,££ - £££,['Chinese'],9,4,[],[],3,"['5', '3', '0', '0', '1']"
Chai,££ - £££,['Cafe'],9,5,[],[],4,"['7', '2', '0', '0', '0']"
The Corner Cafe and Deli,££ - £££,"['Cafe', 'International', 'European']",24,4,"[4.0, 3.5, 3.5]","['brunch ', 'pancakes ', 'lovely vibe ', 'barnes ', 'smoothies ', 'joint ', 'takeaway ']",8,"['16', '1', '0', '2', '5']"
The Lord Holmesdale,££ - £££,[],6,4.5,[],[],17,"['5', '0', '1', '0', '0']"
Thyme at Riverhouse,£,['Cafe'],12,4.5,"[3.5, 4.0, 4.5]",[],4,"['7', '3', '0', '2', '0']"
Ming Palace,££ - £££,['Chinese'],64,3.5,"[4.0, 3.5, 3.5, 3.0]",[],12,"['23', '15', '10', '5', '11']"
Red Klove,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",71,3.5,"[4.0, 3.5, 3.5, 3.5]","['chilli paneer ', 'bread basket ', 'lamb chops ', 'starters and mains ', 'bhajia ', 'authentic indian food ', 'great curry ', 'non veg ', 'under new management ', 'excellent food and service ', 'drums ', 'corn ', 'crispy ']",10,"['35', '13', '3', '4', '16']"
28-50 Marylebone Lane,££ - £££,['European'],568,4,"[4.0, 4.0, 4.0, 4.0]","['steak ', 'seafood platter ', 'charcuterie ', 'cod ', 'gravlax ', 'bread ', 'chicken ', 'salad ', 'by the glass ', 'wine list ', 'wine bar ', 'great selection of wines ', 'business lunch ', 'sat at the bar ', 'lovely evening ', 'relaxed atmosphere ', 'set menu ']",138,"['220', '205', '60', '19', '3']"
Thai Elephant,££ - £££,"['Asian', 'Chinese', 'Thai']",78,3.5,"[3.5, 4.0, 4.0, 3.0]","['pad thai ', 'pancakes ', 'pudding ', 'all you can eat ', 'didnt leave ', 'main course ', 'set price ', 'nice food ', 'love this place ', 'take away ', 'saturday night ', 'dishes ', 'starters ', 'kent ']",5,"['24', '25', '7', '7', '15']"
Best Kebab & Pizza,£,"['Turkish', 'Mediterranean']",8,4.5,[],[],22,"['7', '0', '0', '0', '1']"
The Old Hat,£,[],10,4,[],[],16,"['6', '2', '0', '1', '1']"
L'Orient Indian Cuisine,££ - £££,"['Indian', 'Asian', 'Vegetarian Friendly']",28,4,"[3.5, 4.0, 3.5]",[],4,"['10', '9', '2', '2', '4']"
Milano Pizza,,"['Italian', 'Pizza']",8,4.5,[],[],0,"['6', '0', '1', '0', '1']"
Maiwand Restaurant,££ - £££,['Middle Eastern'],4,5,[],"['bring your own ', 'sultanas ', 'carrots ', 'afghan ', 'food ']",3,"['4', '0', '0', '0', '0']"
